"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/AgentMemory.cls",40,14,40,15,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/AgentMemory_Test.cls",35,1,36,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/AgentMemory_Test.cls",56,1,57,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallMetadataApi.cls",61,1,62,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallMetadataApi.cls",82,1,83,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallMetadataApi_Test.cls",24,1,25,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallRestApi.cls",1,24,1,25,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallRestApi.cls",9,49,9,51,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallRestApi.cls",10,84,10,85,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallRestApi.cls",13,48,13,51,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallRestApi.cls",28,33,28,34,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallRestApi.cls",29,113,29,114,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallRestApi.cls",34,32,34,33,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallRestApi.cls",35,49,35,50,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallRestApi.cls",40,33,40,34,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallRestApi.cls",41,104,41,105,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallRestApi.cls",48,34,48,35,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallRestApi.cls",49,84,49,85,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallToolingApi.cls",78,1,79,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallToolingApi_Test.cls",26,1,27,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallToolingApi_Test.cls",50,1,51,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallToolingApi_Test.cls",75,1,76,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CallToolingApi_Test.cls",99,1,100,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CreatePlantUmlUrl_Test.cls",11,49,11,50,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CustomSettings_Test.cls",14,1,15,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CustomSettings_Test.cls",32,1,33,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CustomSettings_Test.cls",43,1,44,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataCloudSql.cls",9,1,10,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataCloudSql.cls",33,1,34,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary.cls",7,1,8,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary.cls",11,1,12,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary.cls",47,1,48,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary.cls",69,1,70,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary.cls",98,1,99,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary.cls",113,1,114,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary.cls",123,1,124,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary.cls",134,1,135,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary.cls",170,1,171,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary.cls",181,1,182,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary.cls",189,1,190,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary.cls",195,1,196,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary.cls",201,1,202,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary_Test.cls",11,1,12,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary_Test.cls",18,1,19,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary_Test.cls",22,1,23,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary_Test.cls",27,1,28,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary_Test.cls",41,1,42,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary_Test.cls",45,1,46,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary_Test.cls",58,1,59,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary_Test.cls",73,1,74,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary_Test.cls",77,1,78,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary_Test.cls",83,1,84,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary_Test.cls",92,1,93,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary_Test.cls",96,1,97,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary_Test.cls",101,1,102,1,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DataLibrary_Test.cls",116,1,117,1,"Found trailing whitespace at the end of a line of code.",
