"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"ApexCRUDViolation","pmd",2,"Recommended,Security,Apex","force-app/main/default/classes/AgentMemory.cls",27,13,27,30,"Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_security.html#apexcrudviolation"
"ApexCRUDViolation","pmd",2,"Recommended,Security,Apex","force-app/main/default/classes/AgentMemory.cls",101,9,101,29,"Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_security.html#apexcrudviolation"
"ApexCRUDViolation","pmd",2,"Recommended,Security,Apex","force-app/main/default/classes/AgentMemory.cls",101,9,101,29,"Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_security.html#apexcrudviolation"
"AvoidHardcodedCredentialsInVarAssign","pmd",3,"AppExchange,Security,Apex","force-app/main/default/classes/HeadlessAgent.cls",66,20,66,29,"Hard coded credentials assigned to variable: sessionId  matched the token: SESSIONID","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#avoidhardcodedcredentialsinvarassign"
"AvoidUnauthorizedGetSessionIdInApex","pmd",3,"AppExchange,Security,Apex","force-app/main/default/classes/SessionId.cls",3,41,3,64,"User of UserInfo.getSessionId might not be authorized","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#avoidunauthorizedgetsessionidinapex"
"AvoidUnauthorizedApiSessionIdInVisualforce","pmd",3,"AppExchange,Security,Visualforce","force-app/main/default/pages/sessionId.page",1,45,1,60,"Retrieval of session ID using API.Session_ID is not authorized.","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#avoidunauthorizedapisessionidinvisualforce"
"ApexFlsViolation","sfge",2,"DevPreview,Security,Apex","force-app/main/default/classes/LoadCustomInstructions.cls",28,33,,,"FLS validation is missing for [READ] operation on [Memory__c] with field(s) [Content__c,CreatedById,IsShared__c].","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-sfge.html#apexflsviolation"
"ApexFlsViolation","sfge",2,"DevPreview,Security,Apex","force-app/main/default/classes/QueryRecordsWithSoql.cls",10,44,,,"Salesforce Graph Engine couldn't resolve the parameter passed to [READ] operation with field(s) [Unknown]. Confirm that this operation has the necessary FLS checks.","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-sfge.html#apexflsviolation"
"ApexFlsViolation","sfge",2,"DevPreview,Security,Apex","force-app/main/default/classes/StoreCustomInstruction.cls",14,9,,,"FLS validation is missing for [INSERT] operation on [Memory__c] with field(s) [IsShared__c].","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-sfge.html#apexflsviolation"
"ApexFlsViolation","sfge",2,"DevPreview,Security,Apex","force-app/main/default/classes/LoadCustomInstructions.cls",28,33,,,"FLS validation is missing for [READ] operation on [Memory__c] with field(s) [Content__c,CreatedById,IsShared__c].","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-sfge.html#apexflsviolation"
